,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w33.oracleGeneral.bin.zst_19868346,0.1195,0.124,0.0888,0.1225,0.1678,0.1275,0.1379,0.1302,0.1246,0.1249,0.1263,0.2952,0.1092,0.1182,0.1251,0.1252,0.1216,0.1167,0.1271,0.1168,0.107
w67.oracleGeneral.bin.zst_9028144,0.111,0.1039,0.0601,0.1035,0.1117,0.1196,0.13,0.1214,0.1159,0.1206,0.1238,0.2066,0.1054,0.0943,0.1163,0.1058,0.1068,0.1069,0.1024,0.1013,0.0933
w49.oracleGeneral.bin.zst_11151558,0.4193,0.422,0.337,0.4155,0.5007,0.5406,0.5528,0.5249,0.5074,0.5106,0.5375,0.4481,0.5004,0.4248,0.5481,0.5404,0.4151,0.4326,0.4516,0.4762,0.4013
w55.oracleGeneral.bin.zst_8855434,0.8556,0.855,0.8223,0.855,0.8548,0.8581,0.859,0.8519,0.8567,0.8509,0.8543,0.855,0.8574,0.8586,0.8587,0.8586,0.8541,0.8556,0.8569,0.8576,0.8574
w73.oracleGeneral.bin.zst_6368815,0.285,0.3,0.1892,0.292,0.3125,0.3149,0.3803,0.3399,0.2831,0.3022,0.3289,0.2898,0.29,0.2653,0.3356,0.31,0.2783,0.2787,0.2698,0.2736,0.259
w89.oracleGeneral.bin.zst_3625918,0.2722,0.2763,0.2235,0.2759,0.2778,0.2665,0.2864,0.2948,0.2723,0.2784,0.2811,0.3107,0.2724,0.2847,0.2669,0.2737,0.2625,0.2662,0.2684,0.278,0.2848
w09.oracleGeneral.bin.zst_49622929,0.3794,0.3967,0.2996,0.3868,0.4691,0.4755,0.4726,0.434,0.4585,0.3982,0.4571,0.5701,0.352,0.3417,0.4727,0.4649,0.3845,0.3502,0.4179,0.3586,0.3345
w45.oracleGeneral.bin.zst_15064629,0.0534,0.0599,0.0346,0.0559,0.06,0.0661,0.0815,0.0783,0.0561,0.0572,0.0812,0.1371,0.0499,0.0561,0.0591,0.059,0.054,0.0532,0.0573,0.0514,0.0468
w90.oracleGeneral.bin.zst_4493515,0.2405,0.2626,0.1679,0.2577,0.2538,0.2613,0.263,0.2704,0.25,0.4941,0.2571,0.4558,0.2818,0.2378,0.2627,0.2614,0.244,0.2446,0.4329,0.2596,0.3209
w36.oracleGeneral.bin.zst_18915625,0.1075,0.1168,0.0821,0.1111,0.1121,0.1155,0.1263,0.1184,0.1127,0.1151,0.1135,0.3102,0.0988,0.108,0.1132,0.1132,0.1097,0.1046,0.1123,0.1052,0.0959
w05.oracleGeneral.bin.zst_73034546,0.655,0.6294,0.5666,0.6324,0.6259,0.6415,0.6541,0.6589,0.6377,0.6654,0.6468,0.636,0.6741,0.671,0.6436,0.6435,0.6294,0.6337,0.6622,0.6485,0.7025
w43.oracleGeneral.bin.zst_15617420,0.3722,0.4223,0.2814,0.429,0.4188,0.465,0.4808,0.447,0.4285,0.4041,0.444,0.5565,0.4299,0.3775,0.4622,0.4459,0.4051,0.4074,0.4408,0.3853,0.4101
w04.oracleGeneral.bin.zst_77764582,0.3884,0.3853,0.2459,0.3911,0.3934,0.392,0.3872,0.3798,0.3817,0.3553,0.3811,0.5623,0.3186,0.3922,0.3788,0.3702,0.3876,0.3396,0.3789,0.3647,0.3166
w07.oracleGeneral.bin.zst_67427405,0.2914,0.3217,0.2128,0.3096,0.3489,0.3489,0.4161,0.3469,0.308,0.3543,0.3335,0.2851,0.3022,0.2915,0.3696,0.3508,0.2954,0.2996,0.2892,0.3374,0.2734
w92.oracleGeneral.bin.zst_4284658,0.7016,0.7988,0.6793,0.7988,0.7978,0.8254,0.8259,0.8139,0.8198,0.8162,0.8243,0.7994,0.7368,0.6905,0.8256,0.8255,0.7975,0.8115,0.7204,0.8234,0.6942
w74.oracleGeneral.bin.zst_6343762,0.1059,0.0974,0.0601,0.0967,0.1009,0.1083,0.1221,0.1213,0.1049,0.1082,0.1256,0.2181,0.0986,0.0931,0.1083,0.1019,0.0983,0.0999,0.1008,0.0958,0.0961
w11.oracleGeneral.bin.zst_46173369,0.3843,0.3742,0.1967,0.3797,0.3668,0.3779,0.4207,0.4165,0.4297,0.5248,0.4087,0.7065,0.3809,0.4049,0.3809,0.367,0.38,0.385,0.4653,0.38,0.4536
w29.oracleGeneral.bin.zst_19087784,0.4121,0.4131,0.2892,0.4209,0.4488,0.4556,0.4665,0.447,0.4449,0.4556,0.4407,0.6363,0.4512,0.3865,0.4596,0.4532,0.4072,0.4024,0.4163,0.4147,0.4187
w69.oracleGeneral.bin.zst_7874006,0.3123,0.3205,0.2151,0.3152,0.3364,0.3502,0.3998,0.3508,0.3406,0.3375,0.3467,0.3297,0.328,0.2988,0.3625,0.3585,0.318,0.3136,0.3253,0.3246,0.3026
w95.oracleGeneral.bin.zst_3937240,0.2128,0.2122,0.1546,0.2101,0.2291,0.2366,0.2668,0.243,0.2285,0.2294,0.2377,0.2354,0.2277,0.2101,0.2438,0.2353,0.2109,0.2108,0.2149,0.2195,0.2027
w82.oracleGeneral.bin.zst_4926610,0.3009,0.338,0.1886,0.3322,0.2382,0.3883,0.4072,0.3172,0.3531,0.3002,0.3618,0.3749,0.3148,0.2476,0.4013,0.3543,0.2916,0.2906,0.2925,0.2903,0.2486
w48.oracleGeneral.bin.zst_14097008,0.7578,0.8021,0.5502,0.8022,0.7793,0.8422,0.8451,0.7912,0.8305,0.7574,0.8239,0.8159,0.7526,0.7327,0.8435,0.8435,0.7705,0.7694,0.7041,0.8188,0.6817
w47.oracleGeneral.bin.zst_14314717,0.0467,0.0536,0.0297,0.0539,0.0552,0.057,0.0727,0.0727,0.0496,0.0576,0.0756,0.1321,0.0439,0.0503,0.0564,0.0509,0.0473,0.0468,0.0513,0.0471,0.0404
w61.oracleGeneral.bin.zst_9884691,0.3911,0.4272,0.2489,0.4211,0.4181,0.4335,0.4612,0.4426,0.3942,0.4605,0.4301,0.5111,0.4096,0.4338,0.4398,0.4245,0.3806,0.3748,0.3785,0.3795,0.3983
w56.oracleGeneral.bin.zst_10899629,0.1009,0.1061,0.0654,0.1035,0.1113,0.115,0.1414,0.1202,0.1045,0.1258,0.1103,0.3075,0.1086,0.1031,0.1178,0.1085,0.1013,0.0991,0.1052,0.1081,0.097
w77.oracleGeneral.bin.zst_5616402,0.2843,0.2853,0.2102,0.2845,0.2972,0.316,0.3359,0.3615,0.3028,0.3283,0.3519,0.4174,0.3311,0.2759,0.3063,0.3066,0.2841,0.2926,0.3119,0.2942,0.2763
w57.oracleGeneral.bin.zst_10554725,0.1281,0.1358,0.0741,0.1321,0.1414,0.1447,0.1678,0.1484,0.1304,0.1548,0.1426,0.207,0.1344,0.1289,0.1477,0.1386,0.1264,0.1235,0.1313,0.1372,0.1141
w104.oracleGeneral.bin.zst_3395553,0.7511,0.7192,0.6293,0.7194,0.7303,0.7348,0.7609,0.7442,0.7319,0.7495,0.7389,0.7227,0.7343,0.7576,0.7408,0.7385,0.7173,0.7289,0.7363,0.7472,0.7518
w96.oracleGeneral.bin.zst_3787344,0.3853,0.4071,0.2321,0.3933,0.4092,0.4149,0.4316,0.4167,0.3736,0.417,0.3966,0.4802,0.4028,0.4009,0.421,0.387,0.3714,0.3638,0.3639,0.3713,0.4284
w01.oracleGeneral.bin.zst_215796257,0.7384,0.7935,0.6604,0.7919,0.8117,0.8164,0.8258,0.7943,0.8169,0.765,0.8085,0.7921,0.713,0.7284,0.8257,0.8256,0.7932,0.8218,0.7461,0.8238,0.7336
w53.oracleGeneral.bin.zst_8973978,0.6533,0.6543,0.596,0.6552,0.6535,0.6542,0.6622,0.651,0.6506,0.6491,0.6517,0.6835,0.6505,0.6505,0.6544,0.6544,0.6542,0.6517,0.6452,0.6558,0.6399
