 accp4 accp4c accp4p
737 0.262 1.000 0.998
738 0.262 1.000 0.998
739 0.262 1.000 0.998
740 0.262 1.000 0.998
741 0.263 1.000 0.998
742 0.263 1.000 0.998
743 0.263 1.000 0.998
744 0.263 1.000 0.998
745 0.263 1.000 0.998
746 0.263 1.000 0.998
747 0.263 1.000 0.998
748 0.263 1.000 0.998
749 0.264 1.000 0.998
750 0.264 1.000 0.998
751 0.264 1.000 0.998
752 0.264 1.000 0.998
753 0.264 1.000 0.998
754 0.264 1.000 0.998
755 0.264 1.000 0.998
756 0.264 1.000 0.998
757 0.264 1.000 0.998
758 0.265 1.000 0.998
759 0.265 1.000 0.998
760 0.265 1.000 0.998
761 0.265 1.000 0.999
762 0.265 1.000 0.999
763 0.265 1.000 0.999
764 0.265 1.000 0.999
765 0.265 1.000 0.999
766 0.265 1.000 0.999
767 0.265 1.000 0.999
768 0.266 1.000 0.999
769 0.266 1.000 0.999
770 0.266 1.000 0.999
771 0.266 1.000 0.999
772 0.266 1.000 0.999
773 0.266 1.000 0.999
774 0.266 1.000 0.999
775 0.267 1.000 0.999
776 0.267 1.000 0.999
777 0.267 1.000 0.999
778 0.267 1.000 0.999
779 0.267 1.000 0.999
780 0.267 1.000 0.999
781 0.268 1.000 0.999
782 0.268 1.000 0.999
783 0.268 1.000 0.999
784 0.268 1.000 0.999
785 0.268 1.000 0.999
786 0.268 1.000 0.999
787 0.268 1.000 0.999
788 0.268 1.000 0.999
789 0.269 1.000 0.999
790 0.269 1.000 0.999
791 0.269 1.000 0.999
792 0.269 1.000 0.999
793 0.269 1.000 0.999
794 0.269 1.000 0.999
795 0.269 1.000 0.999
796 0.269 1.000 0.999
797 0.269 1.000 0.999
798 0.269 1.000 0.999
799 0.269 1.000 0.999
800 0.269 1.000 0.999
801 0.269 1.000 0.999
802 0.269 1.000 0.999
803 0.270 1.000 0.999
804 0.270 1.000 0.999
805 0.270 1.000 0.999
806 0.270 1.000 0.999
807 0.270 1.000 0.999
808 0.270 1.000 0.999
809 0.270 1.000 0.999
810 0.270 1.000 0.999
811 0.270 1.000 0.999
812 0.270 1.000 0.999
813 0.270 1.000 0.999
814 0.270 1.000 0.999
815 0.270 1.000 0.999
816 0.270 1.000 0.999
817 0.270 1.000 0.999
818 0.270 1.000 0.999
819 0.270 1.000 0.999
820 0.270 1.000 0.999
821 0.271 1.000 0.999
822 0.271 1.000 0.999
823 0.271 1.000 0.999
824 0.271 1.000 0.999
825 0.271 1.000 0.999
826 0.271 1.000 0.999
827 0.271 1.000 0.999
828 0.272 1.000 0.999
829 0.272 1.000 0.999
830 0.272 1.000 0.999
831 0.272 1.000 0.999
832 0.272 1.000 0.999
833 0.272 1.000 0.999
834 0.272 1.000 0.999
835 0.272 1.000 0.999
836 0.272 1.000 0.999
837 0.272 1.000 0.999
838 0.272 1.000 0.999
839 0.273 1.000 0.999
840 0.273 1.000 0.999
841 0.273 1.000 0.999
842 0.273 1.000 0.999
843 0.273 1.000 0.999
844 0.273 1.000 0.999
845 0.273 1.000 0.999
846 0.273 1.000 0.999
847 0.274 1.000 0.999
848 0.274 1.000 0.999
849 0.274 1.000 0.999
850 0.274 1.000 0.999
851 0.274 1.000 0.999
852 0.274 1.000 0.999
853 0.274 1.000 0.999
854 0.274 1.000 0.999
855 0.275 1.000 0.999
856 0.275 1.000 0.999
857 0.275 1.000 0.999
858 0.275 1.000 0.999
859 0.275 1.000 0.999
860 0.275 1.000 0.999
861 0.275 1.000 0.999
862 0.275 1.000 0.999
863 0.275 1.000 0.999
864 0.275 1.000 0.999
865 0.275 1.000 0.999
866 0.275 1.000 0.999
867 0.275 1.000 0.999
868 0.276 1.000 0.999
869 0.276 1.000 0.999
870 0.276 1.000 0.999
871 0.276 1.000 0.999
872 0.276 1.000 0.999
873 0.276 1.000 0.999
874 0.276 1.000 0.999
875 0.276 1.000 0.999
876 0.276 1.000 0.999
877 0.276 1.000 0.999
878 0.277 1.000 0.999
879 0.277 1.000 0.999
880 0.277 1.000 0.999
881 0.277 1.000 0.999
882 0.277 1.000 0.999
883 0.277 1.000 0.999
884 0.277 1.000 0.999
885 0.278 1.000 0.999
886 0.278 1.000 0.999
887 0.278 1.000 0.999
888 0.278 1.000 0.999
889 0.278 1.000 0.999
890 0.278 1.000 0.999
